crc_name data_len starting_gates ending_gates gate_reduction compression gen_time_ns cse_time_ns
16              1             27           11             16       59.26        9050      474950
16              2             56           26             30       53.57       10950      714300
16              4            132           63             69       52.27       17500     1093300
16              8            300          139            161       53.67       18300     2775000
16             16            690          299            391       56.67       30450    15108600
16             32           1582          628            954       60.30       50050    83969350
16             64           3440         1290           2150       62.50      112100   393922750
16            128           7390         2557           4833       65.40      184450  2022182500
16            256          15438         4802          10636       68.89      373800  8963173150
16            512          31764         9208          22556       71.01      709400 37180811700
16           1024          64568        17349          47219       73.13     1611650 76041211000
