crc_name data_len starting_gates ending_gates gate_reduction compression gen_time_ns cse_time_ns
16usb           1             35           18             17       48.57        9850      597300
16usb           2             68           37             31       45.59       18600     1156000
16usb           4            146           72             74       50.68       22900     1492250
16usb           8            312          144            168       53.85       28550     3514650
16usb          16            696          303            393       56.47       39050    18717350
16usb          32           1594          627            967       60.66       50200    87148400
16usb          64           3450         1293           2157       62.52       95050   447941100
16usb         128           7392         2558           4834       65.40      199950  2246699850
16usb         256          15444         4961          10483       67.88      368200 10966754950
16usb         512          31772         9211          22561       71.01      806950 39899876700
16usb        1024          64574        17351          47223       73.13     1637950 83127277550
