crc_name data_len starting_gates ending_gates gate_reduction compression gen_time_ns  cse_time_ns
32              1             98           48             50       51.02       14800      3315300
32              2            200          105             95       47.50       17950      8930450
32              4            434          219            215       49.54       29300     29423400
32              8            922          421            501       54.34       36050    111377000
32             16           1982          831           1151       58.07       47200    380438250
32             32           3958         1547           2411       60.91       61000   1680789400
32             64           7974         2899           5075       63.64      155050   6013956700
32            128          16226         5358          10868       66.98      319600  28509619650
32            256          32439         9996          22443       69.19      537000 117818021100
32            512          65562        18503          47059       71.78      969500 580104515600
