crc_name data_len starting_gates ending_gates gate_reduction compression gen_time_ns cse_time_ns
8maxim          1             22           13              9       40.91       11950      578800
8maxim          2             56           36             20       35.71       20700     1391550
8maxim          4            114           68             46       40.35       14250     1133550
8maxim          8            258          141            117       45.35       19900     2680800
8maxim         16            500          253            247       49.40       35700     3059800
8maxim         32           1008          381            627       62.20       58950    69751450
8maxim         64           2026          639           1387       68.46      137850    85591100
8maxim        128           4062         1153           2909       71.61      221850   138458900
8maxim        256           8136         2173           5963       73.29      383450   187546650
8maxim        512          16274         4221          12053       74.06      740650   357725300
8maxim       1024          32578         8321          24257       74.46     1337900   610507400
8maxim       2048          65140        16509          48631       74.66     2789950  1184243800
8maxim       4096         130288        32893          97395       74.75     5371900  1732233550
8maxim       8192         260586        65663         194923       74.80    11099050  6541460800
8maxim      16384         521182       131201         389981       74.83    22378050 15004915550
8maxim      32768        1042376       262269         780107       74.84    43650350 35823669100
8maxim      65536        2084754       524413        1560341       74.85    84701000 66927893550
