crc_name data_len starting_gates ending_gates gate_reduction compression gen_time_ns cse_time_ns
modbus          1             30           14             16       53.33       11450      629950
modbus          2             60           28             32       53.33       11900     1172850
modbus          4            134           65             69       51.49       14500     1256550
modbus          8            304          142            162       53.29       25200     3207650
modbus         16            700          302            398       56.86       30500    19096150
modbus         32           1586          628            958       60.40       50650    89655800
modbus         64           3446         1296           2150       62.39      106900   393898400
modbus        128           7404         2559           4845       65.44      249750  2165065000
modbus        256          15448         4804          10644       68.90      360750  9269857950
modbus        512          31772         9210          22562       71.01      883100 39640281700
modbus       1024          64578        17351          47227       73.13     1513500 84254414000
