crc_name data_len starting_gates ending_gates gate_reduction compression gen_time_ns  cse_time_ns
x25             1             24           15              9       37.50       11750      1059800
x25             2             80           46             34       42.50       17100      1769000
x25             4            214          109            105       49.07       22550      4595000
x25             8            438          209            229       52.28       20850     13788200
x25            16            942          420            522       55.41       31850     41964550
x25            32           1942          807           1135       58.44       74500    177444950
x25            64           4088         1508           2580       63.11      111000    696160550
x25           128           8290         2739           5551       66.96      193100   3207059300
x25           256          16368         4980          11388       69.57      558550  11311340750
x25           512          32860         9097          23763       72.32      746350  29987703100
x25          1024          65270        17552          47718       73.11     1617400 111426241400
