crc_name data_len starting_gates ending_gates gate_reduction compression gen_time_ns cse_time_ns
xmodem          1             16            8              8       50.00        9600      736650
xmodem          2             72           37             35       48.61       11300     1362350
xmodem          4            202          102            100       49.50       15900     4329600
xmodem          8            430          210            220       51.16       17700    13410250
xmodem         16            932          421            511       54.83       39300    35587900
xmodem         32           1934          817           1117       57.76       47450   184114750
xmodem         64           4082         1503           2579       63.18      112150   670480350
xmodem        128           8280         2761           5519       66.65      174300  2930338350
xmodem        256          16358         4936          11422       69.83      377650 11295267150
xmodem        512          32850         9080          23770       72.36      779850 28874545900
xmodem       1024          65266        17465          47801       73.24     1260600 97058630550
